text,label
Not sure how this works with clearing your complexion (been using for 2 weeks now) but does keep your skin smooth and clean.,0
Makes my skin feel clean and not super dry where its ashy if i dont follow with a moisturiser as soon as im done. The skin doesnt feel oily or tacky. Makes my skin more radiant and use of foundation and concealer is not needed to make the skin look even and hydrated.,0
It makes my face feel nice and fresh. After about 3 days i did get slight acne but it cleared right back up! Will deff use this every day from now on!,0
"I have used this soap for years and considered it Wal-Mart's best kept secret. I was so disappointed when they stopped carrying it in our store location. Was delighted to see I could get it online it ended up a blessing. I don't go to Wal-Mart as often so I'm saving money there (Sorry Walmart), delivery was prompt, I stockpiled and never left the house.",0
I WON'T recommend this product to anyone,1
My 8 month old baby got extremely irritated from this product after using for less than a week. I would like to get my money back.,1
"I did receive 1 bottle but when I ordered, it said a pack of 6. I was disappointed about that. This review was collected as part of a promotion.",1
"You would think it's convenient to have bubble bath and wash in the same container, but it just means you buy twice the amount... My son loves the bubbles though so no complaints.",1
"Well, Johnson's need I say more I know, right. Ok, but I will. I have used Johnson's since I was a baby, yes it's been a long time. But let's get to the Chase, it's 2 in 1. Come on, who doesn't like 2 in 1 It's hard enough to get the little loves clean, so any help is always a blessing... So, Johnson's Bubble Bath and wash is a must have in this house!!!",1
"Well, Johnson's need I say more I know, right. Ok, but I will. I have used Johnson's since I was a baby, yes it's been a long time. But let's get to the Chase, it's 2 in 1. Come on, who doesn't like 2 in 1 It's hard enough to get the little loves clean, so any help is always a blessing... So, Johnson's Bubble Bath and wash is a must have in this house!!!",1
"The bubbles aren't over the top fabulous, but it smells good and makes the kids happy.",0
I ma using this for my baby when she is one month old. I don't like much fragnanaces hence i love it. I don't feel like using another one.,1
Lots of fun in the bath but have to use a lot to make it bubble! Nice addition when the kids don't want to take a bath.,1
Amazing product. My 3 years old loves her bubble baths.,1
I absolutely love this bubblebath. It smells so good and it body wash too. My little one has very sensitive skin so this is a great option for her to still enjoy bubbles and not break out.,1
I bought a small sample size of this a couple months back and loved it. The smell is just wonderful. I recently bought a new bottle and think that I may have to keep it in my shower and buy my kids another one!,1
Very pleasant smell. Only need a little for a whole lot of bubbles.,1
My babies love the bubbles and mom loves that is tear free and the fragrance,1
My son loves this product. Makes bath time more fun and looks forward to it. Not only is it bubbles but also body wash. The 2- in-1 makes it convenient for me,1
Really liked the fresh smell of this.,1
"This cream did not do much for my face or throat area. I have gone back to my generic brand, it works better and is not as expensive. This review was collected as part of a promotion.",1
"I used (and loved) this product for several years until they changed it. It used to moisturize my skin and left it feeling soft. Now, it sits on top of my skin and is never absorbed. It just leaves a slimy film on my skin. I will no longer purchase this product.",1
"I have been using Oil of Olay for over 20 years. This product worked so well for me, but the new formula is HORRIBLE! I cannot find anything to work for my skin like it did! The smell is flowery and it is too thick. The old formula was so light",1
"I am so disappointed! I have used this product for years because of it's soft smell and great results. The new formula feels greasy, smells awful and I don't feel like my skin looks as toned and wrinkle free anymore. This was a five star product for so many years...why change it Please bring back the old formula.",1
"I've been using this product for years and it was terrific. This improved formula is terrible. It doesn't have the hydrating power it had -- it's much thinner and stickier. Heaven help you if you get some on your lips - it tastes terrible! PLEASE dump this improved formula. Until then, I'm shopping for a new moisturizer... alas",1
"It took me so long to find a moisturizer that worked well for me and I loved this product. However, this new formula has a smell that is too strong for me and feels very greasy once applied. Unfortunately I will no longer be purchasing this product and will have to search again for another moisturizer. Please Olay, bring back your old formula. It was so much better.",1
"Used to swear by this product as my daily moisturizer. I loved it because it felt thick and creamy and did a great job without being greasy or feeling heavy. However, just bought the first container of the new formula. It's terrible! It leaves a greasy feel that does not go away and makes it impossible to apply makeup, even 10 minutes after. Your skin just feels slimy to the touch, slippery. And the scent is way stronger. Please, OLAY, give us our old formula back!! I'll be purchasing something else.",1
Olay don't work for me I have overly dry skin. I haven't found anything to work on my skin. So I'm hoping to be able to find something that will work. But I'm affrid I won't be able to find anything to help my skin not be so dry. It gets so bad the I dig at my legs all the time.,1
I used it for several days in a row and I felt like I was wearing a mask. And my skin felt unnatural and dry under it. My skin felt coated instead of hydrated. I will not purchased this product again.,1
"I buy Olay Regenerist all the time from CVS and Rite Aid. This time around I purchased it from Wal Mart's online store, and when I received it, the formula was slightly different. The lotion smells like the cheaper products Olay makes. I am very disappointed and will not order from Walmart online again.",0
"my mother and i have vowed by this product for years and years... when i first started paying attention to skincare, she gave me a bottle of olay regenerist and it's all i've ever needed ... the only thing that works (and i have spent so much money exploring more high-end brands)! so you can understand why i'm upset that the formula was tampered with... this new and improved cream smells awful (the scent is way too strong), it appears that they've watered it down, it's mushy on my face and if i touch my face at any point during the day, it starts peeling off... it's greasy and does not work well under makeup at all! my mom and i are now forced to look for a whole new line of products when we've stayed with olay for our whole lives. sad, sad, sad. BRING BACK THE OLD FORMULA!",1
"While this product probably does leave faces feeling nourished, I would not recommend using it as a daily moisturizer under makeup. It left my face full of crumbles as soon as I brushed on my makeup. Would probably be better as a night cream.",1
Just didn't have the moisture I am used too. Thought I would try this but will go back to Nutragena,1
GreatGreatmefeels great smells great succulent took away dry skin silky smooth enriching,1
"Today is my first time using this product. Felt great going on immediately, felt moisturized without being too greasy. Although it smells great I would have loved to have this formula in a fragrance-free option, my skin tends to be a little sensitive to fragrances, but I will give a final review in a couple of weeks",1
Love it. I can feel the result in few days. I will recommend it to my friends. This review was collected as part of a promotion.,1
I use this at night for wrinkles on the face. It does a good job reducing wrinkles and taking a couple of years off your face. This review was collected as part of a promotion.,1
"Although this product worked amazingly well, the fragrance gave me headaches and made my eyes water daily-Olay please make more fragrance-free products.",1
"While I do love this product, having used it for at least 10 years, I prefer the old formulation better. I feel the new one doesn't hydrate as well, and leaves a thin film on my skin. This review was collected as part of a promotion.",1
I want to try this so that I can answer these questions. It sounds like a product that would help my skin on my face. I just don't want my face to start sagging. I have always liked olay products. This review was collected as part of a promotion.,1
"This product really helped keep my skin moisturized in the winter months. I used it morning and night with good results. It's a little heavy for warmer weather though, with my skin type anyway. This review was collected as part of a promotion.",1
The product smells amazing need to use more often on my skin.,1
"I love the cleansers but this cream is a little too thick for me...I have trouble going to bed with it on...a bit greasy and has a lot of fragrance. I just purchased the micro sculping cream and I can't wait to try it tonight! One point though, this cream has lasted a very long time, though I don't use it every night becuase it's not my favorite.",1
I like the product but dislike the dispenser. With the hole in the top it is strange to dispense and leaves a mess on the top of the container. This review was collected as part of a promotion.,1
I wake up feeling that it has moisturized my face but I honestly cannot tell if has done anything else. This review was collected as part of a promotion.,1
I'm an avid Olay girl...this was not one of my favorites but ib would buy again,1
"Today is my first time using this product. Felt great going on immediately, felt moisturized without being too greasy. Although it smells great I would have loved to have this formula in a fragrance-free option, my skin tends to be a little sensitive to fragrances, but I will give a final review in a couple of weeks",1
"Love the smell, and how supple my skin feels,I actually wakeup with less sleep wrinkles on my face from using thee night time moisture cream. I would use everything okay makes if I could afford to buy them.",1
Its good cause it works and that's all that matters. .,1
"product seems to work well, I haven't noticed any major antiaging qualities but does seem to help the acne",1
I would recommend this product to those who don't have the money to spend on expensive lotions daily facial products. As we all know older we get we start showing signs of our real age. Olay has products for your every day concerns and cares. I've used Olay products off on for years.,1
smell good because it has a good smell and it should be put in more stores so people can buy it,1
This product works amazing because it not only makes my skin smell great it also keep my skin smooth n healty,1
I would def recommend this product! It smells so good and leave Susie skin soft.,1
"Great smell and feel, would like to try again in future. Thank you",1
"I rated the Olay Micro-Sculpting fragrance free a one because it did not absorb and made foundation glob. It peeled as i rubbed. This formula is much better for day use. It absorbs quickly and is not greasy. I does hydrate well, haven't seen all my wrinkles dissappear yet. :)",0
I did not like the way it felt on my skin. I felt like I had on some sort of a skin mask. It may be OK for some people. But not for me. The moisturizer does have a creamy texture to it.,0
"Today is my first time using this product. Felt great going on immediately, felt moisturized without being too greasy. Although it smells great I would have loved to have this formula in a fragrance-free option, my skin tends to be a little sensitive to fragrances, but I will give a final review in a couple of weeks",1
Its keeps your face feeling moisturizer and soft and feels light weight on your skin. This review was collected as part of a promotion.,1
It hydrates my skin. It is not too thick and heavy when I put it on. This review was collected as part of a promotion.,1
This product goes on smooth and makes your skin feel great instantly! This review was collected as part of a promotion.,1
I have tried other products and the Regenerist seems to be the best This review was collected as part of a promotion.,1
Really like the feel of the product and smooths all so well. This review was collected as part of a promotion.,1
In only a week I can see the difference in my skin on my face. This review was collected as part of a promotion.,1
Great product...no oily feeling...would recommend. This review was collected as part of a promotion.,1
This is a wonderful product. The price is reasonable for a product that works as well as some expensive products. I like the results after using this cream. This review was collected as part of a promotion.,1
I rally enjoyed the results of this product it has made a real difference in the way my skin looks and feels . I wish there was more n the container This review was collected as part of a promotion.,1
This product had really helped my skin to feel soft and youthful again. Has recommended this product to friends as well. Will continue to use daily. This review was collected as part of a promotion.,1
This product has made my skin smoother and supple after only two weeks. It absorbs well and leaves no residue. This review was collected as part of a promotion.,1
I use this everyday under my foundation. I have noticed that my face looks younger I love this product This review was collected as part of a promotion.,1
"I love putting this product on after washing my face nightly. It goes on smooth, is not oily, and makes my skin feel great. This review was collected as part of a promotion.",1
the product has a great ability to smooth older skin and help with the overall feeling of hydration attached to the product This review was collected as part of a promotion.,1
love using after being in the sun and on the water all day along with daily use cooling and give moisture to weathered skin. This review was collected as part of a promotion.,1
"I love these products, so creamy, they make me feel younger ,wish i had found them years ago . I would have never aged! This review was collected as part of a promotion.",1
"I like to use this cream on my neck and collarbone to help keep my skin well moisturized, but it can be a little heavy for the skin on my face This review was collected as part of a promotion.",1
"My skin is very dry and this really helps my dry skin on my face, only thing that works for me. This review was collected as part of a promotion.",1
Great hydration for the skin with a smooth non greasy finish. Fine for under foundation makeup. This review was collected as part of a promotion.,1
Works great to smooth lines when perhaps you are a little more tired. Very smooth and creamy! This review was collected as part of a promotion.,1
One of the best moisturizers I've ever used. It made my skin soft without a greasy feeling. This review was collected as part of a promotion.,1
I used this for two weeks and it worked great. My skin looks better then it has in years. This review was collected as part of a promotion.,1
"I wash my face, pat it dry and apply Olay Regenerating Cream and instantly feel the effects. My skin feel smooth and tighter. I've definitely noticed a difference after just a couple weeks. This review was collected as part of a promotion.",1
"42 and still being mistaken for early 30's! This cream keeps my skin so hydrated which in turn keeps my skin tight, wrinkle free and clear! I can't be without it! Trust me, my skin is so amazing and this is why!! This review was collected as part of a promotion.",1
"Goes on smooth, absorbs quickly. Makeup applies well over it doesn't get greasy thru the day. When used at night it feels luxurious. The fragrance is a bit strong, but not overpowering. Would prefer unscented. This review was collected as part of a promotion.",1
"I am one of those who has to try the next new thing. For all of those products, I have to say that I've only say long term change with the Olay Regenerist. Easy to get and afford. 5 stars is a miracle product. This review was collected as part of a promotion.",1
"I have been using this product for about a year. I haven't experienced an outbreaks, it absorbs quickly and I have seen a visible improvement in the look of my skin. It appears brighter and more youthful. This review was collected as part of a promotion.",1
"I finally found a moisturizing product that will absorb completely and not leave my skin feeling like it's suffocating. I apply it, and it feels like there is nothing there but my skin looks smoother. This review was collected as part of a promotion.",1
Deep hydration is necessary for aging skin and this product really keeps my skin looking more youthful. I've tried a lot of products and this works the best for me. This review was collected as part of a promotion.,1
I have used this product for more than 4 years now. Its hydrated and causes no breakout on my face. I really like this product and will continue to buy and use it. This review was collected as part of a promotion.,1
I used this product for 2 weeks. I found my skin smoother and very silky. It doesn't have too strong chemical cosmetic fragrance but still fresh and pleasant. This review was collected as part of a promotion.,1
"I hate to be picky, but who was responsible for the design of this product Push down on top of the package to dispense product from center of package... Even the directions are awkward! The cream is yummy, the design I really hate!",1
Feels amazing made my skin feel great and not dry anymore .,1
I have enjoyed using a variety of the Olay products for more than 30 years and consider them to be part of my life routine-wherever I am. As an international traveler they always make me feel like I am being cared for regardless of where I am. This review was collected as part of a promotion.,1
"Regenerist hydration cream is the best product I have found. It hydrates your face so that is feels baby soft, smooth's away fine lines. Fills in all the little imperfection's that you might have. I highly recommend this product for over 55. This review was collected as part of a promotion.",1
This product is amazing it doesn't dry my skin of moisture.,1
I started using this moisturizer when my sister told me about it. I could feel my dry skin softening over a few days. It didn't hurt when I smiled! That alone was a good reason to try it. Now I will even smile deliberately. It is a good feeling to to able to show I am not a grump!! This review was collected as part of a promotion.,1
"I've tried many products including the over priced products claiming to work miracles. This product I like. It sinks into the skin and doesn't leave a shine. I would recommend it. I'll buy it again and since I like this product so much, I'm going to try some of their others in this line.",1
"This truly is a great product! It has a very clean smell, and it actually works for Fine Lines wrinkles",1
Because they have use some kind of good fragnense in that,1
"I have been very pleased with this product from Olay. It truly does moisturize my very dry skin. It is easy to dispense the product by just pressing on the top of the container, and dispenses just the right amount per press. I would recommend Regenerist Deep Hydration Cream to anyone who has dry skin like mine. This review was collected as part of a promotion.",1
"My family is on a very tight budget, so spending 20 for facial cream was a big chunk out of my grocery . But this is well worth it. My rapidly maturing skin is getting smoother. I still have my wrinkles, but they are not so pronounced. I will watch for sales coupons, this is one product that I will keep using.",1
It smell just amazing and feels great on my skin and leave it feeling so soft.,1
I'm a 52 year old with dry skin and really need a cream that can hydrate me. when i use this cream i actually feel like me skin is saying Ahhhh. i'm really glad i found the whole Regenerist line. The older i get the more i find i need more and more hydration so Thank you This review was collected as part of a promotion.,1
"This cream is the best I have tried, it has reduced my wrinkles and dry skin,it goes on very smoothly and has also helped to make my skin more even toned, I love this product and would recommend it to everyone, for most skin problems they might have. The best ever This review was collected as part of a promotion.",1
"I use this at night and sometimes when I don't wear makeup during the day, I use it then too. Absorbs quickly, not sure now much it is actually helping me prevent more wrinkles, but smells good and feels good. not sticky. wish it worked even more against wrinkles. This review was collected as part of a promotion.",1
"My overall opinion - it is a great cream if you do not have comedones or acne because one of the top ingredients is Dimethicone - a silicone based polymer. It is large molecule and may clog your pores, therefore the condition of your skin will get worse This review was collected as part of a promotion.",1
Very good product my mom uses it all the time when she loves it very much swears by it,1
This product feels great and not greasy. I noticed less visible lines,1
"This product Works fine just like they advertised, i really love using it,",1
"works nicely, evens out skin tone and doen't leaave a greasy feel.Will keep using! This review was collected as part of a promotion.",1
"My Mom used Oil of Olay when I was younger and her skin was always beautiful. But I thought it was just natural. Then I tried the Regenerist and in a WEEK my skin was visibly softer, smoother and actually supple!! I CANNOT BELIEVE I have a soft face. You have to try this because if it made this drastic change in my rough, dry, peeling skin it will work on ANYONE!! This review was collected as part of a promotion.",1
This product makes me feel young and fresh because it opens up my pores and it allows me to breathe with some sort of comfort.,1
"Very smooth - goes on easily, immediately absorbs into skin and never feels greasy. Keeps skin looking fresh and natural. This review was collected as part of a promotion.",1
Regenerist provides a deep hydration of the skin. I find my skin is smoother after use. This review was collected as part of a promotion.,1
I really like this product I feels good going on and makes a difference in your skin This review was collected as part of a promotion.,1
This produc works amazing. Cant stop feeling my smooth skin,1
I have been using this cream for a couple of years now and love it! I use it daily and love the way my skin feels after putting it on. I also like the scent. It is not over powering but subtle.. This review was collected as part of a promotion.,1
"I have used Olay products since I was 16, now I am 66. I would not change for anything. Love them all. You keep getting better all the time. Keep sending me your updates. This review was collected as part of a promotion.",1
Great smell and feel. Does wonders to my skin. Very nourishing. Has a quality that intensive the moisture in my skin.,1
"Really love how well this moisturizes my skin without feeling oily. I do wish it helped a little more with wrinkles/crows feet, but still love the product. This review was collected as part of a promotion.",1
My face soaks this up and is happy all day long. Very happy with this product. It's like aroma therapy for the skin,1
I really did like this. It took a little longer for the results I had hoped for but I realize if you keep a good regiment it will work really well. This review was collected as part of a promotion.,1
I have used the product since I was 16 I have tried others just not the same.my mom used it how I learned about it,1
This product has recently changed its formula. I have been using the old formula for years and probably prefer that formula over the new one but it is still too early to judge for certain. I definitely prefer the white dispenser top over the new black one since the residue looks very unappealing on a black surface. Does not look clean which is what you would want your facial products to represent. Overall I still like this product. This review was collected as part of a promotion.,1
This product is very good and smells sensational. I recommend for all who have ashy skin! I'm VSOP by nature . Very smooth On point skinn,1
This product is great because it is one of the best moisturizers I have found,1
"I use this cream after cleansing every morning and it literally leaves my skin feeling smooth and silky. It's even better when I apply after using Olay Regenerist micro dermabrasion treatment land peel activating serum. I'll the products I use on my face from cleansing to eye treatment is Olay and I have been for years. I am 62 but look 10 years younger because my skin is so soft and what wrinkles I do have are very shallow. Love, love, love. This review was collected as part of a promotion.",1
"Love my skin again, because it's smoother and softer,my pores are less noticeable, and younger looking",1
"I have used these products for years. My skin looks great. Although I find that sometimes I get a white residue on my face. I do get compliments on like, you look 40, I can't believe you are 50! I believe in Olay products and its results. This review was collected as part of a promotion.",1
Works well with skin contour hides blemishes and wrinkles,1
"Have help me look younger for 10 years. Great product for aging skin, recommended to people with heavy rinklles.",1
It's not greases and feels good on your skin. It also gives you a beautiful glow. I used it for about two weeks and saw a difference in in my complexion. I would recommend this product to everyone. I brought some for my sister she also loved it. Then she told her friend and now we all are using it and skin looks moor firm then ever,1
This product is amazing! Awesome work!! It actually works! That's sooooooooo cool!!!,1
The best product. Helps heal dry damaged skin dark circles around the eyes. Your skin will look amazing.,1
"I've only used it for one week, but I have been very impressed. Using the facial mask of my CPAP machine has caused the area around my nose, cheeks and eyes to become really dry, flaky, and raw looking. But after using the cream for one week, I noticed a drastic improvement to my skin. The areas that are irritated by my nose mask are no longer dry and flaky or red and raw. My skin look very fresh and moist. Other moisturizers that I tried made my face look greasy not at all the look I wanted. Thanks for making a product that does just what it is supposed to do. Love it. This review was collected as part of a promotion.",1
This product is really helpful for dry rough skin and I use their product everyday,1
Great and amazing because it is more than useful like it is likely to change your life ego and appearance,1
"I have been having problems with dry skin around my chin area. I typically have dry skin anyway and wanted to try this product after using numerous other products that do not seem to help. It took about a week before I started noticing any difference plus, taking extra care on how I cleansed my face. This product is wonderful. I am now hooked after no longer having that tight itching and dry feeling I had. I recommend this product to anyone who really needs something for dry skin. Thank you. This review was collected as part of a promotion.",1
"Really hydrates the skin, no dry tight feeling at all.",1
I love how it feels and how it works but hate the smell. Every other aspect is perfect!,1
This is a wonderful product leaves skin so soft try it,1
I love the way this product makes my skin feel it doesn't make it feel greasy or oily goes on smooth,1
"It is a great product, because it does everything it says it does. No false advertising with this product.",1
Best thing ever very good for your skin makes it so soft moiste best feeling ever would recommend for every one highly,1
"This product is very good to your skin . It makes your skin feel so smooth and soft. It also make your skin look like it's glowing, taking ten years off your look.",1
I love this lotion because I enjoy rubbing my wife's feet with it.,1
I LOVE the way my skin is left feeling after I use this product!,1
You should really try this product because it's done so many wonders for me. My skin feels super smooth and looks so fantastic. For real this is the best thing I've ever used for my face,1
I originally lobe the way it smells and feels when I apply it to my skin. It has enough of what I needed. I recommend this to any person struggleing with dry skin!,1
"I loved this product, it took yrs off , an blotches not so noticeable.... plus it left my face feeling so soft and smelling so .. good !! Thanks",1
This is some great stuff for my face cuz I'm old and wrinkly and it makes me look younger I feel 31,1
I have tried everything from all natural to high end designer cosmetics. This is a rock solid product that does it claims!!! It's been part of my regiment for over ten years. I regularly try other products but it's always a waste of time and money!,1
"I have used Oil of Olay off and on, but I always go back to Olay. I use everyday under my make-up and many times as a night time moisturizer. My skin looks smooth and I have very few wrinkles or lines.",1
It moisturizes well. I could see the difference within a couple of days. It is slightly heavy so I only use it a night.,0
Very smooth to skin relaxing. It leaves a sensation that revitalizes the youth inside the skin,1
Very silly feeling but not oily. Has a soft clean smell to it.,1
This is a great product I even use it myself . My household won't even use anything else if it isn't olay brand.,1
Product is very nice and works very well got it when worked at factory and my skin had bad reaction to the oil we were using there. It cleared up rather quickly had made my skin feel amazing.,1
This product leaves my face smooth and glowing and smells super nice i just love it,1
Makes your skin so soft and has the best smell. If product is applied as directed then results should be positive,1
My life changed as my face started to glow. Everyone wanted to know the secret... Wasn't a secret after all. Women like sharing beauty tip. I look younger and feel confident.,1
I love it amazing on my skin is so smooth nd not crack at all,1
I have used this product for years and my skin is supple and has very few wrinkles. People constantly come up to me and comment on what lovely skin I have. I also have people commenting that I look 20 years younger than my actual age. I know my Regenerist Deep Hydration Regenerating Cream has been a huge help in staying young looking. It is velvety and rich and my skin drinks it in. I love it! My foundation smooths on easily over my Hydrating Cream and my complexion has a dewy glow. This review was collected as part of a promotion.,1
I loved this product. My skin was so soft and fresh looking. It took years off of my look. This review was collected as part of a promotion.,1
"This is one of the best moisturizers I have ever used. It absorbs quickly and leaves my skin soft, smooth and non-greasy. I like the dispenser as it puts the lotion in my palm without contaminating the unused product by touching it with my fingers. Have found that I do not need a full pump of the product because that is way too much for covering my face and neck. Anyone who has dry skin should not hesitate to give this a try.",1
The best moisturizer I have found. Non greasy. Absorbes quickly and works wonderfully This review was collected as part of a promotion.,1
"This is a really good product. It feels light on my skin immediately feels like it's hydrating my skin. I recently turned 60, and many of the people I have told my age to insist that I look like I'm 45! This review was collected as part of a promotion.",1
I have used several Olay products and have been pleased with them. However when my skin was getting really dry and flaky I knew I needed something hard core. I was amazed how after one use I could tell a difference the next morning! I am so excited! ...Just wish they would give you more lotion for the .,0
The best moisturizer I have found. Non greasy. Absorbes quickly and works wonderfully This review was collected as part of a promotion.,1
I like its rich dewy thick consistency. Great night cream - won't rub off on pillow! This review was collected as part of a promotion.,1
Makes my skin so soft and silky. Will not switch to another moisturizer. Love it!! This review was collected as part of a promotion.,1
I use this every day and it has really improved my skin's appearance and texture This review was collected as part of a promotion.,1
This product actually works better than the more expensive creams I've tried This review was collected as part of a promotion.,1
The best moisturizer I have used. The results I have seen are just what I want. This review was collected as part of a promotion.,1
"I love this product, I finally found something that works great on my face!! This review was collected as part of a promotion.",1
My face is so soft after using this cream. My 60+ skin looks much younger. This review was collected as part of a promotion.,1
Makes my skin feel smooth all day love. Make up goes on great on top of it. This review was collected as part of a promotion.,1
"makes my skin very soft........and smooth,and i have no blotches on my skin This review was collected as part of a promotion.",1
"I think this product really works, if you give it a lot of time to work. This review was collected as part of a promotion.",1
"Light weight, yet effective. I don't feel like I'm wearing a mask to bed. This review was collected as part of a promotion.",1
"Very happy with this product and would recommend it, does what it says This review was collected as part of a promotion.",1
it is an amazing product it hydrates and regenerates my skin.richruby This review was collected as part of a promotion.,1
"Lives up to its promise, great product. Oil of Olay is worth the money. This review was collected as part of a promotion.",1
this product makes my face feel like I have de-aged by twenty years! This review was collected as part of a promotion.,1
Product has been around for awhile and still delivers good results. This review was collected as part of a promotion.,1
After using a short time it totally changed the texture of my skin. This review was collected as part of a promotion.,1
Love the effects of using Olay Deep Hydration Regenerating Cream This review was collected as part of a promotion.,1
I like the feel and texture of my skin after using this product. This review was collected as part of a promotion.,1
"No wrinkles for me, no worrying either because I have my OLAY !! This review was collected as part of a promotion.",1
This product gives my face a starry appearance and a silky feel. This review was collected as part of a promotion.,1
"Love the way this goes on smoothly, not too thick, just right! This review was collected as part of a promotion.",1
This is a great product. It smooth going on and not messy. This review was collected as part of a promotion.,1
I can tell a difference when I haven't applied the cream. This review was collected as part of a promotion.,1
The daily moisturizer is a wonderful feeling product. This review was collected as part of a promotion.,1
"Great cream, smooth texture, non greasy, hydrates well This review was collected as part of a promotion.",1
Love my olay use it every day.For the last 2 years. This review was collected as part of a promotion.,1
